Name_number	Name_submitted	Overall_score	Name_matched	Name_matched_rank	Name_score	Name_matched_author	Name_matched_url	Author_matched	Author_score	Family_matched	Family_score	Name_matched_accepted_family	Genus_matched	Genus_score	Specific_epithet_matched	Specific_epithet_score	Infraspecific_rank	Infraspecific_epithet_matched	Infraspecific_epithet_score	Infraspecific_rank_2	Infraspecific_epithet_2_matched	Infraspecific_epithet_2_score	Annotations	Unmatched_terms	Taxonomic_status	Accepted_name	Accepted_name_author	Accepted_name_rank	Accepted_name_url	Accepted_name_species	Accepted_name_family	Selected	Source	Warnings	Accepted_name_lsid
0	Euterpe broadwayi	1	Euterpe broadwayi	species	1	Becc. ex Broadway	http://www.theplantlist.org/tpl1.1/record/kew-83047;http://www.tropicos.org/Name/50130177					Arecaceae	Euterpe	1	broadwayi	1									Accepted	Euterpe broadwayi	Becc. ex Broadway	species	http://www.theplantlist.org/tpl1.1/record/kew-83047;http://www.tropicos.org/Name/50130177	Euterpe broadwayi	Arecaceae	true	tpl;tropicos	 	
1	Euterpe catinga	1	Euterpe catinga	species	1	Wallace	http://www.theplantlist.org/tpl1.1/record/kew-83051;http://www.tropicos.org/Name/2401357					Arecaceae	Euterpe	1	catinga	1									Accepted	Euterpe catinga	Wallace	species	http://www.theplantlist.org/tpl1.1/record/kew-83051;http://www.tropicos.org/Name/2401357	Euterpe catinga	Arecaceae	true	tpl;tropicos	 	
2	Euterpe edulis	1	Euterpe edulis	species	1	Mart.	http://www.theplantlist.org/tpl1.1/record/kew-83063;http://www.tropicos.org/Name/2400454					Arecaceae	Euterpe	1	edulis	1									Accepted	Euterpe edulis	Mart.	species	http://www.theplantlist.org/tpl1.1/record/kew-83063;http://www.tropicos.org/Name/2400454	Euterpe edulis	Arecaceae	true	tpl;tropicos	 	
3	Euterpe oleracea	1	Euterpe oleracea	species	1	Mart.	http://www.theplantlist.org/tpl1.1/record/kew-83095;http://www.tropicos.org/Name/2401358;http://plants.usda.gov/java/profile?symbol=EUOL2					Arecaceae	Euterpe	1	oleracea	1									Accepted	Euterpe oleracea	Mart.	species	http://www.theplantlist.org/tpl1.1/record/kew-83095;http://www.tropicos.org/Name/2401358;http://plants.usda.gov/java/profile?symbol=EUOL2	Euterpe oleracea	Arecaceae	true	tpl;tropicos;usda	 	
4	Euterpe precatoria	1	Euterpe precatoria	species	1	Mart.	http://www.theplantlist.org/tpl1.1/record/kew-83104;http://www.tropicos.org/Name/2400762					Arecaceae	Euterpe	1	precatoria	1									Accepted	Euterpe precatoria	Mart.	species	http://www.theplantlist.org/tpl1.1/record/kew-83104;http://www.tropicos.org/Name/2400762	Euterpe precatoria	Arecaceae	true	tpl;tropicos	 	
5	Euterpe precatoria var. longivaginata	1	Euterpe precatoria var. longivaginata	variety	1	(Mart.) A.J.Hend.	http://www.theplantlist.org/tpl1.1/record/kew-83105					Arecaceae	Euterpe	1	precatoria	1	var.	longivaginata	1						Accepted	Euterpe precatoria var. longivaginata	(Mart.) A.J.Hend.	variety	http://www.theplantlist.org/tpl1.1/record/kew-83105	Euterpe precatoria	Arecaceae	true	tpl	 	
6	Hyospathe elegans	1	Hyospathe elegans	species	1	Mart.	http://www.theplantlist.org/tpl1.1/record/kew-101301;http://www.tropicos.org/Name/2400559					Arecaceae	Hyospathe	1	elegans	1									Accepted	Hyospathe elegans	Mart.	species	http://www.theplantlist.org/tpl1.1/record/kew-101301;http://www.tropicos.org/Name/2400559	Hyospathe elegans	Arecaceae	true	tpl;tropicos	 	
7	Hyospathe elegans subsp. elegans	1	Hyospathe elegans subsp. elegans	subspecies	1		http://www.tropicos.org/Name/50261175					Arecaceae	Hyospathe	1	elegans	1	subsp.	elegans	1						No opinion							true	tropicos	 	
8	Hyospathe frontinensis	1	Hyospathe frontinensis	species	1	A.J.Hend.	http://www.theplantlist.org/tpl1.1/record/kew-249497					Arecaceae	Hyospathe	1	frontinensis	1									Accepted	Hyospathe frontinensis	A.J.Hend.	species	http://www.theplantlist.org/tpl1.1/record/kew-249497	Hyospathe frontinensis	Arecaceae	true	tpl	 	
9	Hyospathe macrorhachis	1	Hyospathe macrorhachis	species	1	Burret	http://www.theplantlist.org/tpl1.1/record/kew-101305;http://www.tropicos.org/Name/2401335					Arecaceae	Hyospathe	1	macrorhachis	1									Accepted	Hyospathe macrorhachis	Burret	species	http://www.theplantlist.org/tpl1.1/record/kew-101305;http://www.tropicos.org/Name/2401335	Hyospathe macrorhachis	Arecaceae	true	tpl;tropicos	 	
